"Game" "Missmade" "Xdist" "Ydist" "Dist" "shot"
"27" "1" "0" "33" "1.4" "Jump Shot"
"27" "1" "99" "233" "25" "Jump Shot"
"27" "1" "-59" "244" "25.6" "Jump Shot"
"27" "1" "122" "276" "29.1" "Jump Shot"
"27" "0" "-116" "304" "30.3" "Jump Shot"
"27" "0" "-5" "252" "23.9" "Jump Shot"
"27" "0" "182" "172" "24.4" "Jump Shot"
"27" "0" "0" "83" "7.5" "Jump Shot"
"27" "0" "-120" "60" "13" "Step Back Jump shot"
"28" "1" "-182" "7" "0" "Fadeaway Jump Shot"
"28" "1" "-188" "159" "0" "Fadeaway Jump Shot"
"28" "0" "6" "249" "0" "Jump Shot"
"28" "1" "-205" "189" "0" "Jump Shot"
"28" "0" "-198" "148" "0" "Jump Shot"
"28" "0" "-196" "192" "0" "Jump Shot"
"28" "0" "-228" "58" "0" "Jump Shot"
"28" "0" "122" "217" "0" "Jump Shot"
"28" "0" "-193" "162" "0" "Jump Shot"
"28" "1" "-109" "143" "0" "Step Back Jump shot"
"28" "1" "-114" "134" "0" "Step Back Jump shot"
"29" "1" "106" "138" "14.4" "Fadeaway Jump Shot"
"29" "1" "138" "124" "17.5" "Fadeaway Jump Shot"
"29" "1" "-155" "48" "19" "Jump Shot"
"29" "0" "-130" "31" "11" "Jump Shot"
"29" "0" "2" "293" "28.1" "Jump Shot"
"29" "0" "-174" "200" "24.8" "Jump Shot"
"29" "1" "-46" "42" "6.8" "Jump Shot"
"29" "0" "69" "12" "7.6" "Jump Shot"
"29" "0" "152" "213" "25.2" "Jump Shot"
"29" "0" "-82" "244" "25.1" "Jump Shot"
"29" "0" "166" "66" "18.4" "Jump Shot"
"29" "0" "-16" "306" "27.1" "Jump Shot"
"29" "1" "122" "124" "16.5" "Pullup Jump shot"
"30" "0" "-199" "58" "20" "Fadeaway Jump Shot"
"30" "0" "106" "48" "11.5" "Jump Bank Shot"
"30" "1" "133" "82" "20.3" "Jump Shot"
"30" "0" "65" "25" "9.4" "Jump Shot"
"30" "1" "-193" "183" "25.5" "Jump Shot"
"30" "1" "-158" "48" "19.7" "Jump Shot"
"30" "0" "177" "337" "33.6" "Jump Shot"
"30" "1" "-172" "184" "24.9" "Jump Shot"
"30" "0" "-194" "167" "26" "Jump Shot"
"30" "0" "-56" "30" "3.9" "Jump Shot"
"30" "0" "102" "138" "20.2" "Jump Shot"
"30" "0" "-116" "71" "20.5" "Jump Shot"
