"Game" "Missmade" "Xdist" "Ydist" "Dist" "shot"
"13" "1" "-136" "203" "24.8" "Jump Shot"
"13" "0" "236" "44" "24.7" "Jump Shot"
"13" "0" "-168" "179" "24.8" "Jump Shot"
"13" "0" "141" "209" "29.3" "Jump Shot"
"13" "0" "-127" "170" "22.4" "Jump Shot"
"13" "1" "-174" "172" "25.1" "Step Back Jump shot"
"14" "0" "24" "135" "13.8" "Floating Jump shot"
"14" "1" "72" "258" "26.9" "Jump Shot"
"14" "1" "-71" "272" "26.5" "Jump Shot"
"14" "1" "103" "183" "16.8" "Jump Shot"
"14" "1" "-175" "176" "25.4" "Jump Shot"
"14" "1" "233" "47" "22.8" "Jump Shot"
"14" "1" "-30" "290" "27.2" "Jump Shot"
"14" "0" "151" "209" "27.3" "Jump Shot"
"14" "0" "-119" "233" "24.7" "Jump Shot"
"14" "1" "18" "277" "26.5" "Pullup Jump shot"
"14" "1" "-82" "175" "19.6" "Pullup Jump shot"
"14" "1" "-64" "75" "9" "Running Jump Shot"
"15" "1" "-64" "22" "8.5" "Jump Bank Shot"
"15" "1" "108" "135" "15.4" "Jump Shot"
"15" "1" "53" "110" "9.8" "Jump Shot"
"15" "0" "239" "26" "22.8" "Jump Shot"
"15" "0" "146" "222" "24.2" "Jump Shot"
"15" "0" "147" "203" "25.1" "Jump Shot"
"15" "0" "-10" "247" "24.3" "Jump Shot"
"15" "0" "174" "189" "25" "Jump Shot"
"15" "0" "0" "88" "10.6" "Jump Shot"
"15" "0" "-127" "219" "25.9" "Jump Shot"
"15" "0" "-101" "242" "26.3" "Jump Shot"
"15" "0" "-26" "30" "7.3" "Jump Shot"
"15" "0" "173" "198" "23.8" "Jump Shot"
"15" "0" "157" "244" "26.1" "Jump Shot"
"15" "1" "206" "165" "24.4" "Jump Shot"
"16" "1" "-19" "268" "25.7" "Jump Shot"
"16" "1" "13" "175" "16.9" "Jump Shot"
"16" "0" "-29" "19" "4.4" "Jump Shot"
"16" "0" "-18" "217" "21.7" "Jump Shot"
"16" "0" "118" "241" "26.3" "Jump Shot"
"16" "0" "200" "164" "24.2" "Jump Shot"
"16" "1" "-79" "23" "11.6" "Running Jump Shot"
"17" "1" "-103" "77" "10.4" "Jump Bank Shot"
"17" "1" "-60" "30" "6.6" "Jump Shot"
"17" "0" "-194" "184" "26.4" "Jump Shot"
"17" "0" "-46" "28" "5.8" "Jump Shot"
"17" "0" "9" "272" "24" "Jump Shot"
"17" "0" "230" "36" "23.2" "Pullup Jump shot"
"17" "1" "174" "209" "26.1" "Pullup Jump shot"
"17" "1" "-171" "220" "24.5" "Pullup Jump shot"
"17" "1" "-95" "280" "26.6" "Pullup Jump shot"
"17" "0" "189" "186" "24.7" "Pullup Jump shot"
"17" "0" "239" "72" "23.4" "Pullup Jump shot"
"17" "0" "-175" "88" "19.5" "Pullup Jump shot"
"17" "0" "200" "167" "24.2" "Pullup Jump shot"
"18" "0" "-2" "33" "3.8" "Jump Shot"
"18" "0" "119" "31" "12" "Jump Shot"
"18" "0" "-127" "252" "25" "Jump Shot"
"18" "0" "209" "165" "24.6" "Jump Shot"
"18" "1" "-231" "50" "22.9" "Pullup Jump shot"
"18" "1" "64" "127" "16.4" "Pullup Jump shot"
"18" "1" "-38" "266" "25.2" "Pullup Jump shot"
"18" "0" "103" "28" "8.7" "Running Bank shot"
"18" "1" "187" "206" "24.1" "Step Back Jump shot"
"18" "0" "157" "230" "24.2" "Step Back Jump shot"
"18" "0" "-2" "96" "11.1" "Turnaround Jump Shot"
"19" "0" "102" "53" "9.1" "Floating Jump shot"
"19" "1" "-152" "41" "13.5" "Jump Bank Shot"
"19" "0" "-79" "227" "24.9" "Jump Shot"
"19" "1" "-196" "60" "20.9" "Jump Shot"
"19" "1" "-87" "239" "24" "Jump Shot"
"19" "0" "-169" "138" "19.7" "Jump Shot"
"19" "0" "-109" "170" "19.7" "Jump Shot"
"19" "0" "-10" "99" "11.9" "Jump Shot"
"19" "0" "86" "241" "26.7" "Jump Shot"
"19" "0" "-235" "25" "23.2" "Jump Shot"
"19" "0" "-119" "222" "25.6" "Jump Shot"
"20" "0" "163" "89" "16.6" "Fadeaway Jump Shot"
"20" "1" "65" "124" "14.2" "Floating Jump shot"
"20" "1" "-134" "154" "21.2" "Jump Shot"
"20" "1" "-13" "124" "12.4" "Jump Shot"
"20" "1" "-133" "137" "21.7" "Jump Shot"
"20" "1" "-157" "195" "25.8" "Jump Shot"
