Game Shots Missmade Xdist Ydist Dist Quarter
22 7 0 249 188 10 2
22 8 0 285 233 15 2
22 9 0 325 84 3 1
22 10 0 337 359 26 4
22 11 0 374 164 11 3
22 12 0 473 152 16 1
22 13 1 484 116 16 2
22 14 1 288 72 0 1
22 15 1 293 74 0 2
22 16 1 298 75 0 3
22 17 0 303 75 0 1
22 18 1 308 74 0 2
22 19 1 313 72 0 3
23 1 0 82 80 18 1
23 2 0 109 123 17 2
23 3 1 116 189 18 3
23 4 0 181 201 15 4
23 5 0 152 266 21 1
23 6 0 233 283 20 4
23 7 0 316 237 15 4
23 8 1 401 246 17 1
23 9 0 419 82 11 2
23 10 1 426 226 16 1
23 11 1 445 150 13 3
23 12 0 441 252 19 2
23 13 1 469 174 17 3
23 14 0 541 72 19 2
23 15 0 288 73 0 4
23 16 0 292 74 0 4
23 17 1 296 75 0 2
23 18 1 301 75 0 3
23 19 1 305 74 0 4
23 20 0 309 73 0 4
23 21 0 312 72 0 4
24 1 1 132 151 16 2
24 2 0 140 146 15 1
24 3 0 176 179 14 3
24 4 0 195 164 12 1
24 5 0 195 175 13 1
24 6 1 207 107 10 3
24 7 0 215 340 23 1
24 8 1 247 234 15 2
24 9 0 336 212 13 3
24 10 1 392 48 10 2
24 11 0 389 214 15 2
24 12 1 492 122 16 2
24 13 1 504 122 17 2
24 14 1 285 73 0 2
24 15 1 290 74 0 1
24 16 1 295 75 0 3
24 17 0 300 75 0 3
24 18 1 305 74 0 2
24 19 1 310 73 0 2
25 1 0 121 124 16 3
25 2 1 126 168 17 3
25 3 0 120 172 18 3
25 4 1 140 78 11 2
25 5 0 154 84 13 3
25 6 0 195 68 11 3
25 7 0 213 194 13 2
25 8 1 286 216 12 2
25 9 0 326 142 5 3
25 10 0 431 144 12 3
25 11 0 454 118 13 3
25 12 0 448 202 17 3
25 13 0 494 144 16 3
25 14 0 505 144 17 3
25 15 0 295 74 0 2
25 16 0 305 74 0 4
26 1 1 142 154 16 1
26 2 0 177 52 12 1
26 3 1 174 77 12 2
26 4 0 174 211 17 1
26 5 0 358 140 6 1
26 6 0 352 178 8 2
26 7 0 385 134 8 3
26 8 0 407 50 11 2
26 9 0 422 124 11 4
26 10 0 465 132 14 3
26 11 0 491 121 15 1
26 12 0 506 226 20 4
26 13 1 286 72 0 1
26 14 1 289 75 0 1
26 15 1 292 78 0 2
26 16 0 295 81 0 4
26 17 1 298 84 0 4
26 18 1 301 84 0 4
26 19 1 304 81 0 4
26 20 1 307 78 0 4
26 21 1 310 75 0 3
26 22 1 314 72 0 3
